Prediction1,Prediction2,DIFFERENCE,,Prediction w/GridSearch,Difference 2&GS,Difference 1&GS
20.79624053,20.64062568,0.155614843,,20.54254276,0.098082925,0.253697768
22.43709661,22.23540976,0.20168685,,22.18499815,0.050411607,0.252098456
23.27724343,23.1074217,0.16982173,,23.11976472,-0.012343024,0.157478705
23.50517686,23.38660941,0.118567457,,23.44691939,-0.060309981,0.058257476
23.44264491,23.35650259,0.086142316,,23.44627144,-0.089768849,-0.003626533
23.28855916,23.21307415,0.075485006,,23.31639853,-0.103324375,-0.02783937
23.15469474,23.07515449,0.079540243,,23.18029957,-0.105145072,-0.025604829
23.07535341,22.98353842,0.091814985,,23.08338011,-0.099841689,-0.008026704
23.04599264,22.94096831,0.105024328,,23.03425158,-0.093283271,0.011741057
23.05789417,22.94147629,0.116417875,,23.03033165,-0.088855361,0.027562514
23.09222308,22.96816437,0.124058714,,23.05609371,-0.087929343,0.036129371
23.13525855,23.00725448,0.128004064,,23.09770152,-0.090447043,0.037557021
23.17210208,23.04335891,0.128743162,,23.13878223,-0.095423316,0.033319846
23.20007,23.07203732,0.128032675,,23.17350503,-0.101467704,0.026564971
23.21939927,23.09249097,0.126908293,,23.19967786,-0.107186889,0.019721404
23.23485253,23.10883878,0.126013746,,23.22046502,-0.111626243,0.014387504
23.24398399,23.11903073,0.12495326,,23.23355233,-0.114521598,0.010431662
23.23994517,23.11618972,0.123755445,,23.23261676,-0.116427039,0.007328406
23.23191428,23.1080196,0.123894682,,23.2256702,-0.117650603,0.006244079
23.23188471,23.1064756,0.125409117,,23.22441802,-0.117942428,0.007466689
20.78181815,20.62615276,0.155665388,,20.52798687,0.098165895,0.253831283
22.44617057,22.24468876,0.20148181,,22.19421516,0.050473596,0.251955405
23.27889418,23.10944915,0.169445028,,23.12168441,-0.012235259,0.157209769
23.50531363,23.38790394,0.117409697,,23.44819103,-0.060287093,0.057122603
23.43434596,23.35036922,0.083976736,,23.44075904,-0.090389823,-0.006413087
23.283571,23.20915485,0.074416151,,23.31303917,-0.103884315,-0.029468164
23.15266776,23.07265163,0.080016127,,23.17769561,-0.105043983,-0.025027856
23.07214904,22.97987152,0.092277517,,23.07973896,-0.099867438,-0.007589921
23.04698634,22.94104267,0.10594367,,23.03445373,-0.093411063,0.012532607
23.06068587,22.94360519,0.117080679,,23.03255306,-0.088947867,0.028132811
23.09683108,22.97241855,0.124412527,,23.06044517,-0.088026618,0.036385909
23.13598418,23.00826908,0.127715101,,23.09892116,-0.090652083,0.037063018
23.1710422,23.04249359,0.128548613,,23.13824783,-0.095754241,0.032794372
23.19888758,23.07080055,0.128087034,,23.17254386,-0.101743316,0.026343718
23.22220587,23.0949657,0.127240171,,23.20218597,-0.107220267,0.020019904
23.23756385,23.11167694,0.125886908,,23.22313438,-0.111457442,0.014429465
23.23786902,23.11359955,0.124269476,,23.22824417,-0.114644622,0.009624854
23.23249983,23.10849071,0.124009123,,23.22538124,-0.116890525,0.007118598
23.23384356,23.10864139,0.125202169,,23.2265018,-0.117860412,0.007341758
23.23810649,23.11194969,0.126156797,,23.22974334,-0.117793654,0.008363143
20.78235697,20.62667728,0.155679693,,20.52848659,0.09819069,0.253870383
22.45048499,22.24890972,0.20157527,,22.19829593,0.050613786,0.252189055
23.27876544,23.11011577,0.168649664,,23.12236152,-0.012245749,0.156403914
23.50165335,23.38372888,0.117924466,,23.44370399,-0.059975109,0.057949357
23.43182635,23.34750724,0.084319105,,23.43801151,-0.090504264,-0.006185159
23.2823255,23.20738865,0.074936857,,23.31123863,-0.103849982,-0.028913125
23.14979911,23.06936813,0.080430975,,23.17450843,-0.105140304,-0.024709329
23.07500235,22.98063554,0.094366803,,23.08020626,-0.099570713,-0.00520391
23.04960894,22.94308067,0.106528273,,23.03663955,-0.093558883,0.01296939
23.06497073,22.94758964,0.117381086,,23.03667198,-0.089082335,0.028298751
23.09719824,22.97310424,0.124094,,23.06135402,-0.088249778,0.035844222
23.13459944,23.00708843,0.127511015,,23.09808288,-0.090994452,0.036516562
23.16960215,23.04099346,0.128608694,,23.13702808,-0.096034621,0.032574073
23.20151591,23.07307792,0.128437986,,23.17485748,-0.101779555,0.026658431
23.22481894,23.09768367,0.127135267,,23.204738,-0.107054328,0.020080939
23.23140597,23.10618568,0.125220289,,23.21777378,-0.111588096,0.013632194
23.2304132,23.10587478,0.124538412,,23.22099338,-0.115118598,0.009419814
23.23444438,23.10911728,0.125327101,,23.22622619,-0.117108916,0.008218184
23.24009585,23.11413742,0.125958433,,23.23185859,-0.117721175,0.008237258
23.23956561,23.11371685,0.125848761,,23.23150764,-0.117790793,0.008057967
20.78642344,20.63063312,0.155790319,,20.53226409,0.098369027,0.254159347
22.4506948,22.24976707,0.200927725,,22.19919334,0.050573731,0.251501456
23.27321028,23.10521866,0.167991629,,23.11766277,-0.012444114,0.155547515
23.49755644,23.38036514,0.117191305,,23.440904,-0.060538863,0.056652442
23.43263022,23.34642782,0.086202398,,23.43636547,-0.089937649,-0.003735251
23.27971816,23.20431972,0.075398436,,23.30823932,-0.1039196,-0.028521165
23.15120482,23.06990791,0.081296911,,23.17523609,-0.105328177,-0.024031266
23.07599616,22.98231579,0.093680372,,23.08253322,-0.100217437,-0.006537065
23.05384326,22.94705082,0.10679244,,23.04076229,-0.093711471,0.01308097
23.06520724,22.94817997,0.117027273,,23.03750549,-0.089325522,0.027701751
23.09566188,22.97180153,0.12386035,,23.06041847,-0.088616942,0.035243407
23.13301348,23.00546337,0.127550116,,23.09676109,-0.091297721,0.036252395
23.17210936,23.04315544,0.128953924,,23.13924251,-0.096087073,0.032866851
23.20405268,23.07571865,0.128334036,,23.17734085,-0.101622199,0.026711837
23.2186191,23.0921495,0.126469603,,23.19934116,-0.107191657,0.019277945
23.22392153,23.0984304,0.125491133,,23.21049438,-0.112063979,0.013427154
23.23234439,23.10648609,0.125858297,,23.22182308,-0.115336989,0.010521308
23.24069762,23.11461521,0.126082411,,23.23158489,-0.11696968,0.009112731
23.2415626,23.11591411,0.125648489,,23.23363433,-0.117720222,0.007928267
23.23670554,23.11124588,0.125459661,,23.22934948,-0.118103599,0.007356063
20.78218913,20.6265142,0.155674925,,20.52833114,0.098183061,0.253857985
22.44247508,22.24120498,0.201270094,,22.1908649,0.050340081,0.251610175
23.27121615,23.1015308,0.169685354,,23.11399112,-0.012460326,0.157225028
23.49879908,23.38007808,0.118720999,,23.44057975,-0.06050167,0.058219329
23.43058085,23.34472538,0.085855474,,23.43536602,-0.090640639,-0.004785165
23.2830007,23.20660663,0.076394072,,23.31093154,-0.104324912,-0.027930841
23.15485453,23.07311416,0.08174037,,23.17885528,-0.105741118,-0.024000749
23.08028388,22.98654342,0.093740454,,23.08717189,-0.10062847,-0.006888017
23.05355239,22.94732166,0.106230726,,23.04148136,-0.094159698,0.012071029
23.06289172,22.94625831,0.116633406,,23.03609119,-0.089832877,0.026800528
23.09325957,22.96945835,0.123801222,,23.05845199,-0.088993644,0.034807578
23.13480067,23.00694347,0.127857199,,23.0983089,-0.091365432,0.036491767
23.17410826,23.04524875,0.12885951,,23.1411613,-0.095912551,0.032946959
23.19749999,23.06980873,0.127691259,,23.17154251,-0.101733779,0.02595748
23.21092105,23.0841558,0.126765242,,23.19180236,-0.10764656,0.019118682
23.2257545,23.09891773,0.126836767,,23.21118675,-0.112269019,0.014567748
23.23858809,23.1119535,0.126634588,,23.22715126,-0.115197753,0.011436835
23.24220442,23.11641861,0.125785818,,23.23339592,-0.116977309,0.008808509
23.23876261,23.11349559,0.125267019,,23.23154388,-0.118048285,0.007218734
23.23383402,23.10823799,0.125596037,,23.22674022,-0.118502234,0.007093802
20.77795958,20.62239719,0.155562391,,20.52440296,0.097994233,0.253556624
